winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Abbazia di Novacella (Stiftskellerei Neustift),Praepositus Kerner 2018,White wine,Italy,4.2,404,31.99,100% Kerner,14.5,"4,2 - Vivino’s rating is also mine. This is a really great white from the Alta Badia Sud-Tirol. The Kerner is a eatery only found there. And it is great: a delicate balance of dryness and sweet, bold and delicate with a king mineral, flowery finish. Unfortunately not imported to Brazil by Mistral or anyone these days,89/100 points very good wine,This was a really spectacular Kerner. Get into it.,188 ratings,142 ratings,215 ratings,274 ratings"
Purulio,Blanco 2016,White wine,Spain,4.2,65,18,100% Tempranillo,,"A great Orange wine from Andalusia made from 9 white grape varieties. Complex wine ,part of the juice is fermented in inox and.kept in inox, part is fermented in inox and kept in 225 French oak barrels. Natural yeast unfiltered no added sulphite. Deep gold and orange, burnt caramel orange peel mango camomille seasalt lemon pear apple,Totally strange flavours but excellent with food. Fruity and tart.,Too bitter for me"
Croft,Reserve Tawny Porto N.V.,Fortified Wine,Portugal,4.0,813,19.37,"Tinta Amarela, Tinta Cão, Touriga Nacional, Tinta Roriz, Tinta Barroca",,"Very good reserve tawny port almost pink in colour and nicely light on the palate. No alcoholic overtones. Nice pairing to a selection of dutch cheeses with a rubarb coulis and raisin brioche bread.,Had this at a tasting and grabbed a bottle. The House of Croft, founded in 1678, was one of the earliest shippers of Port wines since the seventeenth century. Medium Amber with aromas of dried fruits and nutty earthy notes. On the palate flavors of juicy ripe red fruit, honey and raisins with nutty spice. Lingering sweet finish ending with toasty spices. Great value.,Very nice port with Jeroen Ijzerman and Peter Cantrell at Concours in Utrecht. Black berries and plums with a long aftertaste."
Venge Vineyards,Scout's Honor Red 2019,Red wine,United States,4.4,29,35.69,Cabernet Sauvignon,,"Just opened the well anticipated delivery! Dark fruit on the nose, smooth and well balanced with light-plus tannins on the finish. Delicious, as usual! Thanks Venge!,One of our favorite blends. Fruit forward but balancer,Very fruity up front. Lots of blue fruits like blueberry and purple plum. A smidgen of chocolate aroma. Tons of extraction. Hint of vanilla more so than the oak it was aged in, so well done with barrel aging. Tiny bit of tart on the tongue that is holding me back from a higher rating. I imagine this will improve very nicely with a few more years in the cellar. Gets better as it opens. Well done!"
Smith Woodhouse,10 Year Old Tawny Porto N.V.,Fortified Wine,Portugal,3.8,834,38,"Tinta Cão, Touriga Nacional, Tinta Roriz",,"My first tawny port! Sweet taste of (sultan) raisins, vanilla and chocolate balanced with oak and cherry. A perfect match to matured cheese.,Perfect match for the Danish Christmas rice pudding."
Primitivo Quiles,Raspay Riserva 2008,Sparkling wine,Spain,4.1,84,19.95,,,"Firm black cherry on the nose, beautiful deep Garnett red. Slightly sharp on the palette to begin then rounds to a long dry finish. Perfect with theBig Dig and Cman!,At 10 years, dark with browning edges. Mature tawny flavors with vibrant palate tingling acidity. Chocolate and dried cherry liquor without the sweetness..... Out of this world, enjoyed with roasted chicken, root vegetables & fresh rosemary. Life is so grand!!!!! Cheers 🥂🥂🥂,Beyond gorgeous old-school, unfiltered 100% Monastrell. Deep brick red color. Aged 24 months in 2nd use oak barrels. I can't get enough of the beautifully perfumed nose! It's filled with dried cherry, cedar, tobacco, licorice, cola, raisin, dark florals/lavender, orange rind, & rounded out with savory Sherry/lightly oxidized notes. Super lush tannins, ripe black fruit (especially cherry and plum), tart apple, more licorice/cedar/savory herbal notes. Velvety, lingering finish with a refreshing coolness."
Niepoort,Late Bottled Vintage Port 2015,Fortified Wine,Portugal,3.9,441,25.99,"Tinta Francisca, Touriga Nacional, Touriga Franca",19.5,"Not a fan of Porto or just miss training 😊 Ribe berries, sweet dried and smoked plum's, black chocolate and oriental spices A bit week body. 4-,Eighth and lady wine of the flavor tasting LBV Port, 19.5 ABV Mild acidity, low tannins, very full bodied, sweet, bold Long finish,Dark red in colour. Nose of red plum and jam, some honey, chocolate and caramel. Full body and strong sweet and peppery finish. Give it 3.8"
AIX,Rosé 2020,Rosé wine,France,4.1,222,18.35,,,"8.2/10 Another good example of rose wine. Fresh and easygoing. Summer fruits are domiant. Bought this wine from Millesima for 15 CHF on April 2021,Crisp refreshing and easy drinking rosé. Watermelon and apple blossom on the nose, with stones and honey finish.,Lots of white peach and pink grapefruit. Really light and crisp. Also like a flat flavored sparkling water but better."
De Bortoli,Noble One Botrytis Sémillon 2014,Dessert wine,Australia,4.2,269,,100% Sémillon,,"Unbalanced sweetness but it tries. Got some grassiness. This is a lot like a concentrated B. Nektar Kill all the Golfers. Lemon iced tea. Honey. Caramel. Some light pungency. Beautiful.,Deep amber Nose: pronounced intensity Palate: luscious, med+ acidity, med alcohol, full body, pronounced intensity, long finish Hazlenut, white pepper, dried apricot, raisins, honey, caramel, mushroom, hay, marmalade, orange peel Outstanding quality Drink now. Suitable for further ageing,One of the big hits of the night, honey, pear and apple on the nose. Really enjoyed this, so much so we bought a bottle."
Forlorn Hope,Dragone Ramato 2018,White wine,United States,4.2,27,36,100% Pinot Gris,,"Slight funk on nose with grapefruit. Appearance is a very vibrant cloudy muted red. Palette is also grapefruit and tomato. Nice acidity. Some salinity too. Caro liked it! At ruffian,Honeydew and strawberry on the nose. The flavor is watermelon rind, strawberry, tannins, citrus, macadamia a bit. Light strawberry color. Medium body. Pairs with The Grinch film.,Nose of candied cherry and raspberry, tart on the palette with cranberry, grapefruit, jalapeño, pretty mouth clenching tannins for a pink hued wine"
